epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.562,1.69051,3.22385,1.98554,0.00794,0.66735,0.1377,0.076,1.70476,3.52239,2.06277,0.000359752,0.000359752,0.000359752
2,267.621,1.75976,2.75567,2.00913,0.42185,0.25932,0.16356,0.0893,1.9403,3.58794,2.26911,0.00071563,0.00071563,0.00071563
3,383.212,1.77431,2.62576,2.01718,0.50003,0.15805,0.13948,0.0748,2.04932,3.26241,2.3663,0.00105684,0.00105684,0.00105684
4,506.07,1.79003,2.58647,2.01525,0.40804,0.19455,0.12077,0.0574,2.22225,3.42557,2.51562,0.00104501,0.00104501,0.00104501
5,646.6,1.76079,2.50096,2.00577,0.53241,0.27321,0.23919,0.12821,1.94921,3.15004,2.36235,0.00102301,0.00102301,0.00102301
6,774.019,1.78752,2.44483,2.00827,0.5057,0.20379,0.1794,0.09413,2.0964,3.4377,2.5024,0.00100101,0.00100101,0.00100101
7,903.063,1.71884,2.3583,1.97463,0.61053,0.25464,0.23587,0.12977,1.95604,2.89303,2.33491,0.000979013,0.000979013,0.000979013
8,1022.51,1.7134,2.32133,1.9459,0.69371,0.26409,0.2665,0.14868,1.97978,2.69074,2.27039,0.000957015,0.000957015,0.000957015
9,1135.71,1.68418,2.29628,1.95806,0.61181,0.22174,0.23821,0.11944,2.07549,3.16475,2.55301,0.000935018,0.000935018,0.000935018
10,1252.4,1.64896,2.25089,1.93465,0.69001,0.23658,0.21755,0.12058,1.94033,2.86987,2.28766,0.00091302,0.00091302,0.00091302
11,1370.01,1.62561,2.20686,1.90966,0.70331,0.29738,0.31687,0.16715,1.90021,2.38789,2.26404,0.000891022,0.000891022,0.000891022
12,1492.58,1.6554,2.2012,1.91875,0.78403,0.25865,0.4897,0.25989,1.97658,2.45712,2.40702,0.000869024,0.000869024,0.000869024
13,1609.41,1.58806,2.13518,1.87575,0.7935,0.29717,0.45303,0.26937,1.85703,2.19632,2.11307,0.000847026,0.000847026,0.000847026
14,1724.65,1.61174,2.08547,1.88508,0.79679,0.29401,0.33041,0.21116,1.81525,2.27476,2.12189,0.000825029,0.000825029,0.000825029
15,1856.22,1.59322,2.06887,1.87236,0.884,0.34053,0.3837,0.22055,1.90761,2.08543,2.17232,0.000803031,0.000803031,0.000803031
